set_code,name,subtitle,variant,card_number,aspect,arena,card_type,rarity
JTL,Captain Tarkin,Full Forward Assault,Hyperspace Foil,,,,,
JTL,Cassian Andor,Threading the Eye,Standard,,,,,
JTL,Cassian Andor,Threading the Eye,Hyperspace,,,,,
JTL,Cassian Andor,Threading the Eye,Hyperspace Foil,,,,,
JTL,Cassian Andor,Threading the Eye,Standard Foil,,,,,
JTL,Cat and Mouse,,Standard Foil,,,,,
JTL,Cat and Mouse,,Hyperspace Foil,,,,,
JTL,Cat and Mouse,,Hyperspace,,,,,
JTL,Cat and Mouse,,Standard,,,,,
JTL,Cham Syndulla,Rallying Ryloth,Standard,,,,,
JTL,Cham Syndulla,Rallying Ryloth,Standard Foil,,,,,
JTL,Cham Syndulla,Rallying Ryloth,Hyperspace Foil,,,,,
JTL,Cham Syndulla,Rallying Ryloth,Hyperspace,,,,,
JTL,Chewbacca,Faithful First Mate,Hyperspace,,,,,
JTL,Chewbacca,Faithful First Mate,Hyperspace Foil,,,,,
JTL,Chewbacca,Faithful First Mate,Standard Foil,,,,,
JTL,Chewbacca,Faithful First Mate,Standard,,,,,
JTL,Chimaera,Reinforcing the Center,Hyperspace,,,,,
JTL,Chimaera,Reinforcing the Center,Serialized Prestige,,,,,
JTL,Chimaera,Reinforcing the Center,Hyperspace Foil,,,,,
JTL,Chimaera,Reinforcing the Center,Foil Prestige,,,,,
JTL,Chimaera,Reinforcing the Center,Standard Foil,,,,,
JTL,Chimaera,Reinforcing the Center,Standard Prestige,,,,,
JTL,Chimaera,Reinforcing the Center,Standard,,,,,
JTL,Chopper Base,,Hyperspace,,,,,
JTL,Chopper Base,,Standard,,,,,
JTL,City in the Clouds,,Hyperspace,,,,,
JTL,City in the Clouds,,Standard,,,,,
JTL,Cloaked StarViper,,Standard Foil,,,,,
JTL,Cloaked StarViper,,Hyperspace,,,,,
JTL,Cloaked StarViper,,Standard,,,,,
JTL,Cloaked StarViper,,Hyperspace Foil,,,,,
JTL,Clone Combat Squadron,,Hyperspace Foil,,,,,
JTL,Clone Combat Squadron,,Hyperspace,,,,,
JTL,Clone Combat Squadron,,Standard,,,,,
JTL,Clone Combat Squadron,,Standard Foil,,,,,
JTL,Clone Pilot,,Hyperspace Foil,,,,,
JTL,Clone Pilot,,Hyperspace,,,,,
JTL,Clone Pilot,,Standard Foil,,,,,
JTL,Clone Pilot,,Standard,,,,,
JTL,Close the Shield Gate,,Standard Foil,,,,,
JTL,Close the Shield Gate,,Standard,,,,,
JTL,Close the Shield Gate,,Hyperspace Foil,,,,,
JTL,Close the Shield Gate,,Hyperspace,,,,,
JTL,Colossus,,Standard Foil,,,,,
JTL,Colossus,,Hyperspace Foil,,,,,
JTL,Colossus,,Hyperspace,,,,,
JTL,Colossus,,Standard,,,,,
JTL,Commandeer,,Hyperspace Foil,,,,,
JTL,Commandeer,,Standard Foil,,,,,
JTL,Commandeer,,Standard,,,,,
JTL,Commandeer,,Hyperspace,,,,,
JTL,Commence Patrol,,Hyperspace,,,,,
JTL,Commence Patrol,,Hyperspace Foil,,,,,
JTL,Commence Patrol,,Standard Foil,,,,,
JTL,Commence Patrol,,Standard,,,,,
JTL,Contracted Hunter,,Standard,,,,,
JTL,Contracted Hunter,,Standard Foil,,,,,
JTL,Contracted Hunter,,Hyperspace Foil,,,,,
JTL,Contracted Hunter,,Hyperspace,,,,,
JTL,Contracted Jumpmaster,,Standard Foil,,,,,
JTL,Contracted Jumpmaster,,Hyperspace,,,,,
JTL,Contracted Jumpmaster,,Hyperspace Foil,,,,,
JTL,Contracted Jumpmaster,,Standard,,,,,
JTL,Coordinated Front,,Standard Foil,,,,,
JTL,Coordinated Front,,Hyperspace Foil,,,,,
JTL,Coordinated Front,,Standard,,,,,
JTL,Coordinated Front,,Hyperspace,,,,,
JTL,Corellian Freighter,,Hyperspace Foil,,,,,
JTL,Corellian Freighter,,Hyperspace,,,,,
JTL,Corellian Freighter,,Standard,,,,,
JTL,Corellian Freighter,,Standard Foil,,,,,
JTL,Corporate Defense Shuttle,,Standard,,,,,
JTL,Corporate Defense Shuttle,,Hyperspace,,,,,
JTL,Corporate Defense Shuttle,,Hyperspace Foil,,,,,
JTL,Corporate Defense Shuttle,,Standard Foil,,,,,
JTL,Corporate Light Cruiser,,Standard,,,,,
JTL,Corporate Light Cruiser,,Hyperspace,,,,,
JTL,Corporate Light Cruiser,,Hyperspace Foil,,,,,
JTL,Corporate Light Cruiser,,Standard Foil,,,,,
JTL,Corvus,Inferno Squadron Raider,Foil Prestige,,,,,
JTL,Corvus,Inferno Squadron Raider,Serialized Prestige,,,,,
JTL,Corvus,Inferno Squadron Raider,Standard,,,,,
JTL,Corvus,Inferno Squadron Raider,Hyperspace,,,,,
JTL,Corvus,Inferno Squadron Raider,Hyperspace Foil,,,,,
JTL,Corvus,Inferno Squadron Raider,Standard Foil,,,,,
JTL,Corvus,Inferno Squadron Raider,Standard Prestige,,,,,
JTL,Covering the Wing,,Hyperspace Foil,,,,,
JTL,Covering the Wing,,Standard Foil,,,,,
JTL,Covering the Wing,,Hyperspace,,,,,
JTL,Covering the Wing,,Standard,,,,,
JTL,CR90 Relief Runner,,Standard,,,,,
JTL,CR90 Relief Runner,,Hyperspace,,,,,
JTL,CR90 Relief Runner,,Standard Foil,,,,,
JTL,CR90 Relief Runner,,Hyperspace Foil,,,,,
JTL,Crackshot V-Wing,,Hyperspace,,,,,
JTL,Crackshot V-Wing,,Hyperspace Foil,,,,,
JTL,Crackshot V-Wing,,Standard,,,,,
JTL,Crackshot V-Wing,,Standard Foil,,,,,
JTL,D'Qar Cargo Frigate,,Standard Foil,,,,,
JTL,D'Qar Cargo Frigate,,Standard,,,,,
JTL,D'Qar Cargo Frigate,,Hyperspace Foil,,,,,
JTL,D'Qar Cargo Frigate,,Hyperspace,,,,,
JTL,Dagger Squadron Pilot,,Hyperspace Foil,,,,,
JTL,Dagger Squadron Pilot,,Standard,,,,,
JTL,Dagger Squadron Pilot,,Hyperspace,,,,,
JTL,Dagger Squadron Pilot,,Standard Foil,,,,,
JTL,Darth Vader,Scourge of Squadrons,Hyperspace Foil,,,,,
JTL,Darth Vader,Victor Squadron Leader,Standard,,,,,
JTL,Darth Vader,Victor Squadron Leader,Hyperspace,,,,,
JTL,Darth Vader,Scourge of Squadrons,Standard,,,,,
JTL,Darth Vader,Victor Squadron Leader,Showcase,,,,,
JTL,Darth Vader,Scourge of Squadrons,Hyperspace,,,,,
JTL,Darth Vader,Scourge of Squadrons,Standard Foil,,,,,
JTL,Data Vault,,Standard,,,,,
JTL,Data Vault,,Hyperspace Foil,,,,,
JTL,Data Vault,,Standard Foil,,,,,
JTL,Data Vault,,Hyperspace,,,,,
JTL,Death Space Skirmisher,,Hyperspace Foil,,,,,
JTL,Death Space Skirmisher,,Hyperspace,,,,,
JTL,Death Space Skirmisher,,Standard Foil,,,,,
JTL,Death Space Skirmisher,,Standard,,,,,
JTL,Death Star Plans,,Standard,,,,,
JTL,Death Star Plans,,Standard Foil,,,,,
JTL,Death Star Plans,,Hyperspace Foil,,,,,
JTL,Death Star Plans,,Hyperspace,,,,,
JTL,Decimator of Dissidents,,Standard,,,,,
JTL,Decimator of Dissidents,,Standard Foil,,,,,
JTL,Decimator of Dissidents,,Hyperspace,,,,,
JTL,Decimator of Dissidents,,Hyperspace Foil,,,,,
JTL,Dedicated Wingmen,,Hyperspace,,,,,
JTL,Dedicated Wingmen,,Hyperspace Foil,,,,,
JTL,Dedicated Wingmen,,Standard,,,,,
JTL,Dedicated Wingmen,,Standard Foil,,,,,
JTL,Dengar,Crude and Slovenly,Hyperspace,,,,,
JTL,Dengar,Crude and Slovenly,Hyperspace Foil,,,,,
JTL,Dengar,Crude and Slovenly,Standard,,,,,
JTL,Dengar,Crude and Slovenly,Standard Foil,,,,,
JTL,Desperate Commando,,Standard,,,,,
JTL,Desperate Commando,,Hyperspace,,,,,
JTL,Desperate Commando,,Hyperspace Foil,,,,,
JTL,Desperate Commando,,Standard Foil,,,,,
JTL,Determined Recruit,,Standard Foil,,,,,
JTL,Determined Recruit,,Hyperspace,,,,,
JTL,Determined Recruit,,Hyperspace Foil,,,,,
JTL,Determined Recruit,,Standard,,,,,
JTL,Devastator,Hunting the Rebellion,Hyperspace Foil,,,,,
JTL,Devastator,Hunting the Rebellion,Hyperspace,,,,,
JTL,Devastator,Hunting the Rebellion,Standard Foil,,,,,
JTL,Devastator,Hunting the Rebellion,Standard,,,,,
JTL,Devastator,Hunting the Rebellion,Standard Prestige,,,,,
JTL,Devastator,Hunting the Rebellion,Serialized Prestige,,,,,
JTL,Devastator,Hunting the Rebellion,Foil Prestige,,,,,
JTL,Dilapidated Ski Speeder,,Standard Foil,,,,,
JTL,Dilapidated Ski Speeder,,Hyperspace,,,,,
JTL,Dilapidated Ski Speeder,,Hyperspace Foil,,,,,
JTL,Dilapidated Ski Speeder,,Standard,,,,,
JTL,Direct Hit,,Hyperspace,,,,,
JTL,Direct Hit,,Standard,,,,,
JTL,Direct Hit,,Hyperspace Foil,,,,,
JTL,Direct Hit,,Standard Foil,,,,,
JTL,Director Krennic,On the Verge of Greatness,Standard,,,,,
JTL,Director Krennic,On the Verge of Greatness,Standard Foil,,,,,
JTL,Director Krennic,On the Verge of Greatness,Hyperspace,,,,,
JTL,Director Krennic,On the Verge of Greatness,Hyperspace Foil,,,,,
JTL,Diversion,,Hyperspace Foil,,,,,
JTL,Diversion,,Standard,,,,,
JTL,Diversion,,Standard Foil,,,,,
JTL,Diversion,,Hyperspace,,,,,
JTL,Dogfight,,Hyperspace,,,,,
JTL,Dogfight,,Standard,,,,,
JTL,Dogfight,,Hyperspace Foil,,,,,
JTL,Dogfight,,Standard Foil,,,,,
JTL,Dornean Gunship,,Standard,,,,,
JTL,Dornean Gunship,,Hyperspace Foil,,,,,
JTL,Dornean Gunship,,Hyperspace,,,,,
JTL,Dornean Gunship,,Standard Foil,,,,,
JTL,Dorsal Turret,,Hyperspace,,,,,
JTL,Dorsal Turret,,Hyperspace Foil,,,,,
JTL,Dorsal Turret,,Standard,,,,,
JTL,Dorsal Turret,,Standard Foil,,,,,
JTL,Droid Missile Platform,,Hyperspace Foil,,,,,
JTL,Droid Missile Platform,,Hyperspace,,,,,
JTL,Droid Missile Platform,,Standard Foil,,,,,
JTL,Droid Missile Platform,,Standard,,,,,
JTL,Eager Escort Fighter,,Standard Foil,,,,,
JTL,Eager Escort Fighter,,Hyperspace,,,,,
JTL,Eager Escort Fighter,,Hyperspace Foil,,,,,
JTL,Eager Escort Fighter,,Standard,,,,,
JTL,Echo Base Engineer,,Hyperspace Foil,,,,,
JTL,Echo Base Engineer,,Standard,,,,,
JTL,Echo Base Engineer,,Standard Foil,,,,,
JTL,Echo Base Engineer,,Hyperspace,,,,,
JTL,Eject,,Hyperspace Foil,,,,,
JTL,Eject,,Hyperspace,,,,,
JTL,Eject,,Standard,,,,,
JTL,Eject,,Standard Foil,,,,,
JTL,Electromagnetic Pulse,,Standard,,,,,
JTL,Electromagnetic Pulse,,Hyperspace Foil,,,,,
JTL,Electromagnetic Pulse,,Standard Foil,,,,,
JTL,Electromagnetic Pulse,,Hyperspace,,,,,
JTL,Evasive Maneuver,,Hyperspace Foil,,,,,
JTL,Evasive Maneuver,,Hyperspace,,,,,
JTL,Evasive Maneuver,,Standard Foil,,,,,
JTL,Evasive Maneuver,,Standard,,,,,
JTL,Executor,Might of the Empire,Hyperspace Foil,,,,,
JTL,Executor,Might of the Empire,Standard,,,,,
JTL,Executor,Might of the Empire,Standard Prestige,,,,,
JTL,Executor,Might of the Empire,Serialized Prestige,,,,,
JTL,Executor,Might of the Empire,Foil Prestige,,,,,
JTL,Executor,Might of the Empire,Hyperspace,,,,,
JTL,Executor,Might of the Empire,Standard Foil,,,,,
JTL,Face Off,,Hyperspace,,,,,
JTL,Face Off,,Standard Foil,,,,,
JTL,Face Off,,Standard,,,,,
JTL,Face Off,,Hyperspace Foil,,,,,
JTL,Fett's Firespray,Feared Silhouette,Standard,,,,,
JTL,Fett's Firespray,Feared Silhouette,Standard Prestige,,,,,
JTL,Fett's Firespray,Feared Silhouette,Foil Prestige,,,,,
JTL,Fett's Firespray,Feared Silhouette,Hyperspace Foil,,,,,
JTL,Fett's Firespray,Feared Silhouette,Standard Foil,,,,,
JTL,Fett's Firespray,Feared Silhouette,Hyperspace,,,,,
JTL,Fett's Firespray,Feared Silhouette,Serialized Prestige,,,,,
JTL,Fight Fire With Fire,,Hyperspace Foil,,,,,
JTL,Fight Fire With Fire,,Hyperspace,,,,,
JTL,Fight Fire With Fire,,Standard,,,,,
JTL,Fight Fire With Fire,,Standard Foil,,,,,
JTL,Fireball,An Explosion With Wings,Standard Foil,,,,,
JTL,Fireball,An Explosion With Wings,Standard Prestige,,,,,
JTL,Fireball,An Explosion With Wings,Hyperspace,,,,,
JTL,Fireball,An Explosion With Wings,Foil Prestige,,,,,
JTL,Fireball,An Explosion With Wings,Serialized Prestige,,,,,
JTL,Fireball,An Explosion With Wings,Standard,,,,,
JTL,Fireball,An Explosion With Wings,Hyperspace Foil,,,,,
JTL,First Order Stormtrooper,,Standard,,,,,
JTL,First Order Stormtrooper,,Hyperspace,,,,,
JTL,First Order Stormtrooper,,Hyperspace Foil,,,,,
JTL,First Order Stormtrooper,,Standard Foil,,,,,
JTL,First Order TIE Fighter,,Hyperspace,,,,,
JTL,First Order TIE Fighter,,Hyperspace Foil,,,,,
JTL,First Order TIE Fighter,,Standard Foil,,,,,
JTL,First Order TIE Fighter,,Standard,,,,,
JTL,Flanking Fang Fighter,,Standard,,,,,
JTL,Flanking Fang Fighter,,Hyperspace Foil,,,,,
JTL,Flanking Fang Fighter,,Hyperspace,,,,,
JTL,Flanking Fang Fighter,,Standard Foil,,,,,
JTL,Fleet Interdictor,,Standard,,,,,
JTL,Fleet Interdictor,,Hyperspace,,,,,
JTL,Fleet Interdictor,,Standard Foil,,,,,
JTL,Fleet Interdictor,,Hyperspace Foil,,,,,
JTL,Fly Casual,,Hyperspace,,,,,
JTL,Fly Casual,,Hyperspace Foil,,,,,
JTL,Fly Casual,,Standard Foil,,,,,
JTL,Fly Casual,,Standard,,,,,
JTL,Focus Fire,,Standard Foil,,,,,
JTL,Focus Fire,,Standard,,,,,
JTL,Focus Fire,,Hyperspace,,,,,
JTL,Focus Fire,,Hyperspace Foil,,,,,
JTL,Frisk,Vanguard Loudmouth,Standard,,,,,
JTL,Frisk,Vanguard Loudmouth,Standard Foil,,,,,
JTL,Frisk,Vanguard Loudmouth,Hyperspace Foil,,,,,
JTL,Frisk,Vanguard Loudmouth,Hyperspace,,,,,
JTL,General Draven,Doing What Must Be Done,Standard Foil,,,,,
JTL,General Draven,Doing What Must Be Done,Hyperspace,,,,,
JTL,General Draven,Doing What Must Be Done,Hyperspace Foil,,,,,
JTL,General Draven,Doing What Must Be Done,Standard,,,,,
JTL,General Hux,"No Terms, No Surrender",Standard,,,,,
JTL,General Hux,"No Terms, No Surrender",Hyperspace Foil,,,,,
JTL,General Hux,"No Terms, No Surrender",Standard Foil,,,,,
JTL,General Hux,"No Terms, No Surrender",Hyperspace,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Serialized Prestige,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Hyperspace Foil,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Standard Prestige,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Hyperspace,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Foil Prestige,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Standard,,,,,
JTL,Gold Leader,Fastest Ship in the Fleet,Standard Foil,,,,,
JTL,Grand Admiral Thrawn,...How Unfortunate,Standard,,,,,
JTL,Grand Admiral Thrawn,...How Unfortunate,Hyperspace,,,,,
JTL,Grand Admiral Thrawn,...How Unfortunate,Showcase,,,,,
JTL,Grim Valor,,Standard,,,,,
JTL,Grim Valor,,Standard Foil,,,,,
JTL,Grim Valor,,Hyperspace Foil,,,,,
JTL,Grim Valor,,Hyperspace,,,,,
JTL,Guerilla Soldier,,Standard Foil,,,,,
JTL,Guerilla Soldier,,Hyperspace Foil,,,,,
JTL,Guerilla Soldier,,Hyperspace,,,,,
JTL,Guerilla Soldier,,Standard,,,,,
JTL,Han Solo,Has His Moments,Hyperspace Foil,,,,,
JTL,Han Solo,Never Tell Me the Odds,Standard,,,,,
JTL,Han Solo,Has His Moments,Hyperspace,,,,,
JTL,Han Solo,Never Tell Me the Odds,Hyperspace,,,,,
JTL,Han Solo,Never Tell Me the Odds,Showcase,,,,,
